DATE,HOUST_PC1
1978-09-01,1.07748
1978-10-01,-2.98727
1978-11-01,2.54652
1978-12-01,-4.57516
1979-01-01,-5.12224
1979-02-01,-12.54315
1979-03-01,-9.10433
1979-04-01,-20.43696
1979-05-01,-9.59036
1979-06-01,-7.58454
1979-07-01,-15.86998
1979-08-01,-10.92184
1979-09-01,-7.00508
1979-10-01,-15.14387
1979-11-01,-27.22063
1979-12-01,-26.71233
1980-01-01,-17.73006
1980-02-01,-11.18421
1980-03-01,-43.31348
1980-04-01,-39.87414
1980-05-01,-50.58635
1980-06-01,-37.48040
1980-07-01,-27.89773
1980-08-01,-19.23510
1980-09-01,-19.70524
1980-10-01,-9.39917
1980-11-01,-0.91864
1980-12-01,-1.06809
1981-01-01,15.36167
1981-02-01,-7.70370
1981-03-01,24.73734
1981-04-01,29.40057
1981-05-01,22.97735
1981-06-01,-12.62542
1981-07-01,-17.96690
1981-08-01,-34.54039
1981-09-01,-38.06934
1981-10-01,-42.67892
1981-11-01,-44.56954
1981-12-01,-38.59649
1982-01-01,-45.50743
1982-02-01,-30.49759
1982-03-01,-28.71363
1982-04-01,-32.57353
1982-05-01,-10.08772
1982-06-01,-13.68421
1982-07-01,12.00768
1982-08-01,11.27660
1982-09-01,25.57629
1982-10-01,34.36426
1982-11-01,63.91876
1982-12-01,43.18681
1983-01-01,88.13760
1983-02-01,96.18938
1983-03-01,72.50269
1983-04-01,60.52345
1983-05-01,73.26829
1983-06-01,92.12860
1983-07-01,53.08748
1983-08-01,82.60038
1983-09-01,49.47552
1983-10-01,46.20631
1983-11-01,30.10204
1983-12-01,29.54720
1984-01-01,19.60908
1984-02-01,33.01942
1984-03-01,3.54919
1984-04-01,25.74728
1984-05-01,-0.11261
1984-06-01,6.34737
1984-07-01,-2.96919
1984-08-01,-16.96335
1984-09-01,-0.70175
1984-10-01,-7.28863
1984-11-01,-5.37815
1984-12-01,-4.50237
1985-01-01,-9.80496
1985-02-01,-27.78761
1985-03-01,8.23812
1985-04-01,-1.62075
1985-05-01,-5.29876
1985-06-01,-9.06131
1985-07-01,-2.77136
1985-08-01,9.89912
1985-09-01,-1.29564
1985-10-01,15.34591
1985-11-01,0.53286
1985-12-01,20.47146
1986-01-01,15.25424
1986-02-01,13.23529
1986-03-01,4.22222
1986-04-01,6.15047
1986-05-01,10.35714
1986-06-01,10.20286
1986-07-01,5.81948
1986-08-01,3.67183
1986-09-01,0.65632
1986-10-01,-8.34242
1986-11-01,-4.41696
1986-12-01,-5.61277
1987-01-01,-10.04057
1987-02-01,-3.46320
1987-03-01,-7.99574
1987-04-01,-16.50285
1987-05-01,-12.18986
1987-06-01,-13.69789
1987-07-01,-11.61616
1987-08-01,-11.17875
1987-09-01,0.47421
1987-10-01,-9.87507
1987-11-01,2.03327
1987-12-01,-23.62248
1988-01-01,-28.35400
1988-02-01,-17.43274
1988-03-01,-11.23986
1988-04-01,-2.54027
1988-05-01,-12.71499
1988-06-01,-7.27729
1988-07-01,-6.85714
1988-08-01,-6.97819
1988-09-01,-11.97640
1988-10-01,0.46205
1988-11-01,-5.25362
1988-12-01,11.64286
1989-01-01,27.53737
1989-02-01,-3.25866
1989-03-01,-7.18016
1989-04-01,-14.87603
1989-05-01,-6.33357
1989-06-01,-5.48038
1989-07-01,-2.72665
1989-08-01,-10.78366
1989-09-01,-14.27614
1989-10-01,-7.35874
1989-11-01,-13.89420
1989-12-01,-19.96161
1990-01-01,-4.31832
1990-02-01,0.84211
1990-03-01,-9.35302
1990-04-01,-6.79612
1990-05-01,-8.94065
1990-06-01,-15.74803
1990-07-01,-17.93973
1990-08-01,-16.29129
1990-09-01,-13.21345
1990-10-01,-28.08511
1990-11-01,-15.24796
1990-12-01,-22.54197
1991-01-01,-48.54932
1991-02-01,-32.84621
1991-03-01,-28.54926
1991-04-01,-19.79167
1991-05-01,-17.82178
1991-06-01,-11.97961
1991-07-01,-9.22289
1991-08-01,-5.91928
1991-09-01,-8.55856
1991-10-01,6.41026
1991-11-01,-3.66812
1991-12-01,11.35191
1992-01-01,47.36842
1992-02-01,29.53368
1992-03-01,40.82519
1992-04-01,9.79021
1992-05-01,21.88755
1992-06-01,10.52124
1992-07-01,7.14958
1992-08-01,16.87321
1992-09-01,16.84729
1992-10-01,15.29194
1992-11-01,10.06346
1992-12-01,13.71640
1993-01-01,2.89116
1993-02-01,-3.20000
1993-03-01,-16.49961
1993-04-01,14.46770
1993-05-01,3.78913
1993-06-01,11.79039
1993-07-01,10.09658
1993-08-01,6.03589
1993-09-01,13.23777
1993-10-01,11.89711
1993-11-01,13.34432
1993-12-01,24.93888
1994-01-01,5.12397
1994-02-01,10.49587
1994-03-01,44.41367
1994-04-01,16.45469
1994-05-01,21.11111
1994-06-01,10.07813
1994-07-01,14.75279
1994-08-01,11.53846
1994-09-01,9.75428
1994-10-01,4.16667
1994-11-01,9.81105
1994-12-01,-5.08806
1995-01-01,10.61321
1995-02-01,-1.57068
1995-03-01,-20.14066
1995-04-01,-13.51536
1995-05-01,-13.89253
1995-06-01,-9.08446
1995-07-01,1.52884
1995-08-01,-2.34483
1995-09-01,-7.12347
1995-10-01,-5.58621
1995-11-01,-3.90470
1995-12-01,-1.64948
1996-01-01,4.26439
1996-02-01,13.29787
1996-03-01,14.01121
1996-04-01,19.65272
1996-05-01,14.45967
1996-06-01,14.51991
1996-07-01,0.75291
1996-08-01,9.95763
1996-09-01,7.74288
1996-10-01,1.68006
1996-11-01,2.54821
1996-12-01,-4.26275
1997-01-01,-7.63463
1997-02-01,-0.33535
1997-03-01,2.31742
1997-04-01,-1.58311
1997-05-01,-4.12234
1997-06-01,1.84049
1997-07-01,-2.37772
1997-08-01,-10.72575
1997-09-01,4.81356
1997-10-01,9.19540
1997-11-01,1.41034
1997-12-01,14.30657
1998-01-01,12.54613
1998-02-01,6.59489
1998-03-01,7.54976
1998-04-01,3.21716
1998-05-01,6.51872
1998-06-01,9.83936
1998-07-01,18.16284
1998-08-01,16.11511
1998-09-01,2.32859
1998-10-01,12.82895
1998-11-01,9.93377
1998-12-01,14.43167
1999-01-01,14.62295
1999-02-01,5.42929
1999-03-01,9.12572
1999-04-01,0.84416
1999-05-01,4.88281
1999-06-01,-4.99695
1999-07-01,-1.70789
1999-08-01,2.10657
1999-09-01,3.35019
1999-10-01,-6.23907
1999-11-01,-0.72289
1999-12-01,-4.68750
2000-01-01,-6.40732
2000-02-01,4.01198
2000-03-01,-6.19883
2000-04-01,4.70058
2000-05-01,-2.23464
2000-06-01,0.00000
2000-07-01,-12.34272
2000-08-01,-6.49272
2000-09-01,-7.82875
2000-10-01,-3.66915
2000-11-01,-5.88592
2000-12-01,-10.30445
2001-01-01,-2.20049
2001-02-01,-6.44790
2001-03-01,-0.87282
2001-04-01,1.41451
2001-05-01,1.90476
2001-06-01,4.93906
2001-07-01,14.14901
2001-08-01,1.68722
2001-09-01,3.64964
2001-10-01,-0.58102
2001-11-01,3.28820
2001-12-01,2.34987
2002-01-01,6.12500
2002-02-01,12.55385
2002-03-01,3.27044
2002-04-01,-3.45664
2002-05-01,9.90654
2002-06-01,4.95110
2002-07-01,-0.89820
2002-08-01,4.21187
2002-09-01,15.49296
2002-10-01,7.01299
2002-11-01,9.42572
2002-12-01,14.03061
2003-01-01,9.12839
2003-02-01,-10.93494
2003-03-01,5.11571
2003-04-01,3.20352
2003-05-01,-0.73696
2003-06-01,8.73617
2003-07-01,14.62236
2003-08-01,12.24740
2003-09-01,7.48337
2003-10-01,19.35680
2003-11-01,18.82487
2003-12-01,15.04474
2004-01-01,3.13006
2004-02-01,13.32106
2004-03-01,15.75898
2004-04-01,21.91114
2004-05-01,13.13535
2004-06-01,-2.08891
2004-07-01,5.53506
2004-08-01,10.42008
2004-09-01,-1.75348
2004-10-01,5.33808
2004-11-01,-14.45031
2004-12-01,-0.72922
2005-01-01,12.19257
2005-02-01,19.55580
2005-03-01,-6.70671
2005-04-01,2.89566
2005-05-01,2.22110
2005-06-01,13.12910
2005-07-01,2.59740
2005-08-01,3.50791
2005-09-01,12.91339
2005-10-01,-0.33784
2005-11-01,20.48260
2005-12-01,-2.35064
2006-01-01,6.01679
2006-02-01,-3.98731
2006-03-01,5.63305
2006-04-01,-11.64483
2006-05-01,-4.09877
2006-06-01,-12.86267
2006-07-01,-15.43330
2006-08-01,-21.24105
2006-09-01,-20.03719
2006-10-01,-27.79661
2006-11-01,-26.87471
2006-12-01,-17.30191
2007-01-01,-38.01144
2007-02-01,-30.15573
2007-03-01,-24.07313
2007-04-01,-18.17683
2007-05-01,-27.13697
2007-06-01,-19.64484
2007-07-01,-22.04951
2007-08-01,-19.39394
2007-09-01,-31.22093
2007-10-01,-15.22468
2007-11-01,-23.75796
2007-12-01,-37.11340
2008-01-01,-23.06600
2008-02-01,-25.47297
2008-03-01,-32.77592
2008-04-01,-32.01342
2008-05-01,-31.23675
2008-06-01,-27.76243
2008-07-01,-31.83161
2008-08-01,-36.54135
2008-09-01,-30.68470
2008-10-01,-38.52848
2008-11-01,-45.53049
2008-12-01,-45.99807
2009-01-01,-54.79705
2009-02-01,-47.23481
2009-03-01,-49.75124
2009-04-01,-52.81343
2009-05-01,-44.50154
2009-06-01,-44.07266
2009-07-01,-35.64464
2009-08-01,-30.56872
2009-09-01,-28.65854
2009-10-01,-31.27413
2009-11-01,-9.81595
2009-12-01,3.75000
2010-01-01,25.30612
2010-02-01,3.78007
2010-03-01,25.94059
2010-04-01,43.72385
2010-05-01,7.96296
2010-06-01,-8.37607
